iter	Passed	Remaining
0	247	24547
1	511	25046
2	784	25354
3	981	23563
4	1105	20997
5	1236	19366
6	1426	18955
7	1565	18000
8	1707	17264
9	1846	16622
10	1986	16072
11	2131	15627
12	2258	15114
13	2392	14694
14	2602	14747
15	2787	14634
16	2884	14082
17	3053	13908
18	3202	13652
19	3288	13153
20	3360	12640
21	3452	12241
22	3526	11806
23	3605	11417
24	3684	11053
25	3789	10784
26	3866	10454
27	3968	10203
28	4053	9924
29	4144	9671
30	4226	9407
31	4295	9127
32	4376	8885
33	4450	8639
34	4528	8410
35	4603	8183
36	4679	7968
37	4748	7748
38	4813	7529
39	4877	7316
40	4936	7104
41	5011	6920
42	5068	6718
43	5136	6536
44	5188	6341
45	5249	6162
46	5299	5976
47	5354	5800
48	5409	5629
49	5464	5464
50	5527	5310
51	5567	5139
52	5604	4970
53	5638	4803
54	5675	4643
55	5718	4493
56	5753	4340
57	5803	4202
58	5858	4071
59	5891	3927
60	5924	3787
61	5954	3649
62	5984	3514
63	6013	3382
64	6047	3256
65	6078	3131
66	6109	3009
67	6141	2890
68	6195	2783
69	6236	2672
70	6275	2563
71	6312	2455
72	6348	2348
73	6382	2242
74	6422	2140
75	6457	2039
76	6487	1937
77	6515	1837
78	6544	1739
79	6571	1642
80	6595	1547
81	6621	1453
82	6644	1360
83	6669	1270
84	6692	1181
85	6717	1093
86	6746	1008
87	6767	922
88	6794	839
89	6818	757
90	6843	676
91	6867	597
92	6890	518
93	6915	441
94	6939	365
95	6961	290
96	6984	216
97	7009	143
98	7032	71
99	7054	0
3
99	10274	0
98	10919	110
99	10967	0
	0
